image,ground_truth,prediction,confidence,correct,status
evaluation\frames\video_1_frame_0.jpg,helmet,helmet,0.9208278059959412,True,evaluated
evaluation\frames\video_1_frame_11.jpg,helmet,helmet,0.912550151348114,True,evaluated
evaluation\frames\video_1_frame_22.jpg,helmet,helmet,0.9506291151046753,True,evaluated
evaluation\frames\video_1_frame_33.jpg,helmet,helmet,0.9410077333450317,True,evaluated
evaluation\frames\video_1_frame_44.jpg,helmet,helmet,0.9038251042366028,True,evaluated
evaluation\frames\video_1_frame_55.jpg,helmet,helmet,0.9302763342857361,True,evaluated
evaluation\frames\video_1_frame_66.jpg,helmet,helmet,0.938136875629425,True,evaluated
evaluation\frames\video_1_frame_77.jpg,helmet,helmet,0.9380277991294861,True,evaluated
evaluation\frames\video_1_frame_88.jpg,helmet,helmet,0.9423186182975769,True,evaluated
evaluation\frames\video_1_frame_99.jpg,helmet,helmet,0.9639883041381836,True,evaluated
evaluation\frames\video_1_frame_110.jpg,helmet,helmet,0.9474258422851562,True,evaluated
evaluation\frames\video_1_frame_121.jpg,helmet,helmet,0.9080019593238831,True,evaluated
evaluation\frames\video_1_frame_132.jpg,helmet,helmet,0.9286364316940308,True,evaluated
evaluation\frames\video_1_frame_143.jpg,helmet,helmet,0.9469695091247559,True,evaluated
evaluation\frames\video_1_frame_154.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_1_frame_165.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_1_frame_176.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_1_frame_187.jpg,helmet,helmet,0.9180302619934082,True,evaluated
evaluation\frames\video_1_frame_198.jpg,helmet,helmet,0.9157717823982239,True,evaluated
evaluation\frames\video_1_frame_209.jpg,no_helmet,helmet,0.87648606300354,False,evaluated
evaluation\frames\video_2_frame_0.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_19.jpg,no_helmet,no_detection,0.0,False,no_detection
evaluation\frames\video_2_frame_38.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_57.jpg,no_helmet,no_helmet,0.6047900319099426,True,evaluated
evaluation\frames\video_2_frame_76.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_95.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_114.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_133.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_152.jpg,no_helmet,no_detection,0.0,False,no_detection
evaluation\frames\video_2_frame_171.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_190.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_209.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_228.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_247.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_266.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_285.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_304.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_323.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_2_frame_342.jpg,no_helmet,no_helmet,0.8868235945701599,True,evaluated
evaluation\frames\video_3_frame_0.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_22.jpg,no_helmet,no_helmet,0.5985717177391052,True,evaluated
evaluation\frames\video_3_frame_44.jpg,no_helmet,no_helmet,0.520280659198761,True,evaluated
evaluation\frames\video_3_frame_66.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_88.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_110.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_132.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_154.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_176.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_198.jpg,helmet,no_detection,0.0,False,no_detection
evaluation\frames\video_3_frame_220.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_242.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_264.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_286.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_308.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_330.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_352.jpg,helmet,no_helmet,0.8226608037948608,False,evaluated
evaluation\frames\video_3_frame_374.jpg,helmet,no_detection,0.0,False,no_detection
evaluation\frames\video_3_frame_396.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_3_frame_418.jpg,,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_0.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_15.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_30.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_45.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_60.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_75.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_90.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_105.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_120.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_135.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_150.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_165.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_180.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_195.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_210.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_4_frame_225.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_5_frame_0.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_5_frame_22.jpg,helmet,helmet,0.7186980247497559,True,evaluated
evaluation\frames\video_5_frame_44.jpg,helmet,helmet,0.9057736396789551,True,evaluated
evaluation\frames\video_5_frame_66.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_5_frame_88.jpg,helmet,helmet,0.6240187287330627,True,evaluated
evaluation\frames\video_5_frame_110.jpg,helmet,helmet,0.8053296208381653,True,evaluated
evaluation\frames\video_5_frame_132.jpg,helmet,helmet,0.5648783445358276,True,evaluated
evaluation\frames\video_5_frame_154.jpg,helmet,helmet,0.90240877866745,True,evaluated
evaluation\frames\video_5_frame_176.jpg,helmet,no_detection,0.0,False,no_detection
evaluation\frames\video_5_frame_198.jpg,helmet,no_helmet,0.9178385138511658,False,evaluated
evaluation\frames\video_5_frame_220.jpg,helmet,helmet,0.6993266344070435,True,evaluated
evaluation\frames\video_5_frame_242.jpg,helmet,helmet,0.9113760590553284,True,evaluated
evaluation\frames\video_5_frame_264.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_5_frame_286.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_5_frame_308.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_5_frame_330.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_5_frame_352.jpg,no_detection,,0.0,False,invalid_ground_truth
evaluation\frames\video_5_frame_374.jpg,helmet,helmet,0.6579363346099854,True,evaluated
evaluation\frames\video_5_frame_396.jpg,helmet,helmet,0.5548362135887146,True,evaluated
evaluation\frames\video_6_frame_0.jpg,helmet,no_helmet,0.7776171565055847,False,evaluated
evaluation\frames\video_6_frame_23.jpg,helmet,helmet,0.9150715470314026,True,evaluated
evaluation\frames\video_6_frame_46.jpg,helmet,helmet,0.8992908000946045,True,evaluated
evaluation\frames\video_6_frame_69.jpg,no_helmet,helmet,0.8522940874099731,False,evaluated
evaluation\frames\video_6_frame_92.jpg,no_helmet,no_helmet,0.9537463188171387,True,evaluated
evaluation\frames\video_6_frame_115.jpg,helmet,helmet,0.9209133386611938,True,evaluated
